i,megaflow_entries,,AVG,STDEV
1,11,,10.19,0.971253485622231
2,10,,,
3,10,,,
4,10,,,
5,11,,,
6,9,,,
7,9,,,
8,9,,,
9,10,,,
10,9,,,
11,12,,,
12,10,,,
13,10,,,
14,9,,,
15,11,,,
16,10,,,
17,11,,,
18,8,,,
19,10,,,
20,10,,,
21,9,,,
22,10,,,
23,11,,,
24,9,,,
25,11,,,
26,10,,,
27,11,,,
28,10,,,
29,10,,,
30,9,,,
31,11,,,
32,10,,,
33,11,,,
34,10,,,
35,11,,,
36,11,,,
37,11,,,
38,11,,,
39,10,,,
40,9,,,
41,9,,,
42,10,,,
43,9,,,
44,12,,,
45,12,,,
46,10,,,
47,11,,,
48,10,,,
49,11,,,
50,9,,,
51,10,,,
52,9,,,
53,10,,,
54,11,,,
55,9,,,
56,10,,,
57,11,,,
58,11,,,
59,9,,,
60,11,,,
61,11,,,
62,12,,,
63,9,,,
64,11,,,
65,11,,,
66,11,,,
67,12,,,
68,11,,,
69,10,,,
70,9,,,
71,9,,,
72,11,,,
73,12,,,
74,9,,,
75,11,,,
76,9,,,
77,13,,,
78,11,,,
79,10,,,
80,10,,,
81,9,,,
82,9,,,
83,10,,,
84,9,,,
85,10,,,
86,11,,,
87,10,,,
88,10,,,
89,8,,,
90,11,,,
91,11,,,
92,10,,,
93,10,,,
94,11,,,
95,10,,,
96,10,,,
97,11,,,
98,10,,,
99,10,,,
100,9,,,
