i,megaflow_entries,,AVG,STDEV
1,363,,356.04,9.23204782649587
2,354,,,
3,379,,,
4,365,,,
5,363,,,
6,369,,,
7,346,,,
8,347,,,
9,376,,,
10,358,,,
11,351,,,
12,340,,,
13,347,,,
14,351,,,
15,360,,,
16,343,,,
17,360,,,
18,356,,,
19,356,,,
20,360,,,
21,365,,,
22,364,,,
23,347,,,
24,359,,,
25,351,,,
26,355,,,
27,337,,,
28,358,,,
29,352,,,
30,353,,,
31,350,,,
32,346,,,
33,352,,,
34,354,,,
35,347,,,
36,358,,,
37,346,,,
38,356,,,
39,358,,,
40,353,,,
41,350,,,
42,349,,,
43,364,,,
44,363,,,
45,361,,,
46,344,,,
47,364,,,
48,349,,,
49,355,,,
50,365,,,
51,353,,,
52,347,,,
53,350,,,
54,357,,,
55,358,,,
56,354,,,
57,353,,,
58,365,,,
59,358,,,
60,348,,,
61,362,,,
62,356,,,
63,383,,,
64,338,,,
65,348,,,
66,377,,,
67,364,,,
68,359,,,
69,355,,,
70,358,,,
71,355,,,
72,350,,,
73,373,,,
74,378,,,
75,373,,,
76,365,,,
77,355,,,
78,343,,,
79,350,,,
80,349,,,
81,355,,,
82,362,,,
83,340,,,
84,357,,,
85,333,,,
86,350,,,
87,356,,,
88,353,,,
89,364,,,
90,359,,,
91,363,,,
92,366,,,
93,355,,,
94,366,,,
95,352,,,
96,347,,,
97,360,,,
98,360,,,
99,347,,,
100,356,,,
