i,megaflow_entries,,AVG,STDEV
1,331,,332.96,8.24366300851629
2,339,,,
3,326,,,
4,333,,,
5,325,,,
6,328,,,
7,322,,,
8,330,,,
9,331,,,
10,339,,,
11,348,,,
12,323,,,
13,332,,,
14,317,,,
15,333,,,
16,333,,,
17,339,,,
18,340,,,
19,342,,,
20,329,,,
21,331,,,
22,328,,,
23,333,,,
24,329,,,
25,321,,,
26,332,,,
27,331,,,
28,332,,,
29,347,,,
30,318,,,
31,326,,,
32,323,,,
33,338,,,
34,338,,,
35,340,,,
36,333,,,
37,323,,,
38,326,,,
39,333,,,
40,333,,,
41,342,,,
42,335,,,
43,332,,,
44,336,,,
45,324,,,
46,329,,,
47,328,,,
48,333,,,
49,342,,,
50,337,,,
51,319,,,
52,328,,,
53,326,,,
54,333,,,
55,349,,,
56,347,,,
57,326,,,
58,338,,,
59,322,,,
60,322,,,
61,329,,,
62,334,,,
63,341,,,
64,334,,,
65,339,,,
66,334,,,
67,317,,,
68,315,,,
69,343,,,
70,334,,,
71,338,,,
72,334,,,
73,323,,,
74,336,,,
75,343,,,
76,343,,,
77,344,,,
78,336,,,
79,336,,,
80,335,,,
81,331,,,
82,328,,,
83,332,,,
84,325,,,
85,348,,,
86,326,,,
87,333,,,
88,326,,,
89,355,,,
90,341,,,
91,321,,,
92,342,,,
93,348,,,
94,335,,,
95,349,,,
96,331,,,
97,323,,,
98,346,,,
99,336,,,
100,329,,,
